#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_segmento;Taxa_de_administração;Quantidade_de_grupos_ativos;Quantidade_de_grupos_constituídos_no_mês;Quantidade_de_grupos_encerrados_no_mês;Quantidade_de_cotas_comercializadas_no_mês;Quantidade_de_cotas_excluídas_a_comercializar;Quantidade_acumulada_de_cotas_ativas_contempladas;Quantidade_de_cotas_ativas_não_contempladas;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ADEMICON ADM CONS S.A.;84911098;202506;1;23,84638;89;3;0;21415;6794;25321;243882;614;230517;3031;35655;174611;3218;6048
ADEMICON ADM CONS S.A.;84911098;202506;2;13,86316;55;2;0;689;2761;21966;18430;362;36245;1924;2227;19531;9436;1931
ADEMICON ADM CONS S.A.;84911098;202506;3;14,74338;80;4;1;4431;1302;15303;58146;629;64057;1108;8284;40742;2661;3970
ADEMICON ADM CONS S.A.;84911098;202506;4;23,20000;1;0;0;54;34;25;320;5;294;0;51;40;0;11
ADEMICON ADM CONS S.A.;84911098;202506;5;0,00000;0;0;0;77;0;0;0;0;0;0;0;0;0;0
ADEMICON ADM CONS S.A.;84911098;202506;6;23,00609;4;0;0;171;417;982;1644;45;2059;202;365;1302;118;260
ADM CONS BECKER LTDA;03828278;202506;1;20,69577;6;0;0;39;625;774;1605;15;2089;156;134;3148;104;161
ADM CONS BECKER LTDA;03828278;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS BECKER LTDA;03828278;202506;3;17,87433;6;0;0;55;215;613;1045;16;1454;86;118;1333;139;85
ADM CONS BECKER LTDA;03828278;202506;4;17,40000;8;0;0;58;86;2037;803;34;2482;275;83;2028;840;286
ADM CONS BECKER LTDA;03828278;202506;5;18,21410;13;0;0;81;172;1820;1454;47;2801;313;160;1771;463;385
ADM CONS BECKER LTDA;03828278;202506;6;17,45307;4;0;0;25;37;312;306;13;532;48;38;300;46;65
ADM CONS NAC HONDA LTDA;45441789;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202506;3;15,46270;62;1;2;349;3641;3837;4526;105;7858;191;314;6957;1325;694
ADM CONS NAC HONDA LTDA;45441789;202506;4;23,02330;3560;76;49;98064;841113;1292711;1010499;34606;2023598;154475;125137;2191870;451755;107343
ADM CONS NAC HONDA LTDA;45441789;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
