#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_grupo;Código_do_segmento;Número_da_assembléia_geral_ordinária;Valor_médio_do_bem;Índice_de_correção;Taxa_de_administração;Prazo_do_grupo_em_meses;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00104;1;145;253621,76;3;20,19558;192;560;29;4;3;2200;193;89
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00105;1;145;251582,64;3;20,04462;192;543;25;4;2;2087;175;80
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00106;1;144;261661,60;3;20,37057;192;596;20;1;3;2443;206;81
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00108;1;143;254144,19;3;20,02995;192;545;21;6;4;2251;185;82
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00109;1;143;254111,50;3;20,34941;192;475;33;2;3;2141;157;56
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00110;1;142;256247,64;3;20,23995;192;541;27;3;2;2283;197;73
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00111;1;142;247513,06;3;20,15575;192;688;46;5;1;3426;209;91
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00113;1;142;255098,57;3;20,15360;192;652;34;5;1;2896;210;73
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00114;1;142;256891,02;3;20,22979;192;591;36;2;1;2895;200;92
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00115;1;142;251449,78;3;20,22331;192;655;40;3;1;3076;219;84
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00116;1;141;247830,10;3;20,19632;192;632;28;3;1;3302;209;73
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00117;1;140;256420,07;3;20,15550;192;615;30;9;2;3583;172;86
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00118;1;139;254315,89;3;20,24241;192;630;24;5;1;3139;177;79
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00119;1;138;254179,76;3;19,87538;192;731;31;9;3;3731;194;102
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00121;1;135;242712,03;3;21,32729;192;467;28;7;1;2893;129;66
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00122;1;135;249287,85;3;20,76952;192;523;16;3;1;2921;114;85
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00123;1;134;220099,34;3;20,72643;192;525;27;3;1;3229;123;80
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00124;1;134;224792,18;3;20,80831;192;439;30;4;1;2975;120;76
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00125;1;134;223671,66;3;20,94346;192;465;22;7;1;3046;130;71
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00126;1;133;227528,73;3;20,26770;192;452;16;5;1;3068;121;67
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00127;1;133;220315,31;3;20,55221;192;513;24;7;1;3260;121;91
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00128;1;133;220034,78;3;20,77284;192;503;28;7;1;3585;127;103
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40001;1;122;207485,92;3;20,52484;192;697;30;7;1;3504;136;126
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40002;1;121;387799,34;99;22,69677;192;882;68;10;1;3761;234;91
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40003;1;120;723497,37;99;19,14464;192;896;51;13;2;2879;288;85
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40004;1;121;200876,14;99;20,85467;192;635;23;8;1;3526;108;93
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40005;1;121;204488,20;99;20,91081;192;593;23;13;1;3551;118;94
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40006;1;120;217903,65;99;20,36206;192;656;21;11;3;3796;116;94
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40007;1;120;214987,43;99;20,23730;192;668;28;8;1;3524;129;94
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40008;1;119;225948,32;99;20,42012;192;693;26;15;1;3385;129;113
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40009;1;118;225440,04;99;20,12519;192;653;23;16;1;3703;88;91
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40010;1;117;227944,92;99;20,36025;192;676;28;14;1;3621;116;109
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40011;1;115;233434,61;99;20,08818;192;883;20;16;10;3372;128;117
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40012;1;109;208928,93;99;19,80263;192;822;29;16;10;2812;102;126
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40013;1;101;225654,83;99;21,87066;192;338;9;4;3;1928;70;56
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40014;1;101;232867,06;99;21,72321;192;335;10;4;5;1803;53;52
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40015;1;100;231555,82;99;21,71834;192;328;8;2;3;2053;53;50
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40016;1;100;230644,14;99;21,64599;192;279;7;1;2;1775;35;47
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40017;1;100;230466,65;99;21,68816;192;343;11;4;5;2034;53;54
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40018;1;99;228404,41;99;21,73853;192;324;7;2;3;2280;43;53
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40019;1;98;213378,95;99;21,65538;192;315;6;4;3;2215;51;55
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40020;1;97;214918,01;99;21,63624;192;292;5;1;5;1981;49;53
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40021;1;97;210478,28;99;22,01971;192;269;9;1;1;1757;40;47
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40022;1;94;212774,88;99;19,77299;192;693;11;9;5;2048;52;94
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40023;1;93;235487,54;99;19,85738;192;513;7;11;5;1616;41;77
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40024;1;92;224267,71;99;19,92678;192;553;19;15;5;1770;51;77
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40025;1;88;210345,69;99;19,25234;192;577;9;21;2;1424;37;88
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40026;1;88;205334,21;99;19,88198;192;384;8;7;3;1148;35;64
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40027;1;88;206316,65;99;20,97257;192;332;10;8;1;1211;30;53
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40028;1;88;206983,35;99;20,58576;192;366;6;8;4;1406;29;62
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40029;1;86;190943,83;99;21,18830;192;273;7;6;4;1167;25;56
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40030;1;84;199834,41;99;20,17520;192;375;13;4;5;1171;35;62
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40031;1;83;195081,97;99;19,99898;192;416;8;6;3;998;28;66
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40032;1;82;189154,69;99;20,51655;192;279;10;7;4;819;16;55
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40033;1;82;195884,46;99;19,84581;192;397;7;11;4;1059;21;54
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40034;1;81;215602,21;99;20,71590;192;397;10;5;6;1116;25;73
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40035;1;81;196408,11;99;19,89829;192;322;6;5;4;983;27;56
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40036;1;80;193360,55;99;19,38492;192;307;9;3;1;866;18;55
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40037;1;80;186645,39;99;19,79267;192;289;7;0;3;805;24;62
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40038;1;78;368300,33;99;21,10639;192;537;13;10;4;1549;21;67
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40039;1;79;191910,57;99;19,22487;192;297;8;1;2;879;26;50
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40040;1;79;187403,68;99;20,45782;192;268;4;3;2;939;17;46
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40041;1;78;189122,03;99;19,95518;192;381;10;7;5;910;24;68
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40042;1;78;186145,76;99;19,14839;192;274;8;3;2;801;17;49
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40043;1;78;191126,66;99;19,37549;192;298;6;2;4;807;19;54
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40044;1;77;191430,83;99;20,02408;192;283;8;8;2;835;11;47
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40045;1;77;185598,46;99;19,73891;192;279;7;7;3;721;18;55
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40046;1;76;192310,11;99;19,70664;192;325;5;7;4;817;27;48
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40047;1;76;184112,26;99;19,56106;192;276;3;4;2;722;16;51
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40048;1;75;187718,65;99;20,19537;192;272;8;3;2;793;20;44
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40049;1;75;193238,98;99;19,82066;192;293;5;5;2;740;12;54
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40050;1;75;193637,74;99;20,36819;192;271;7;3;1;664;16;46
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40051;1;74;172447,85;99;19,86176;192;277;10;3;2;806;18;52
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40052;1;74;174281,12;99;19,81035;192;300;9;6;2;900;12;48
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40053;1;73;177348,51;99;21,16780;192;380;10;8;5;878;24;77
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40054;1;71;378254,58;99;19,15423;192;927;19;10;10;1858;59;111
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40055;1;72;177235,24;99;21,12663;192;320;12;3;3;960;19;59
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40056;1;72;186896,12;3;24,47232;240;779;12;23;5;2953;12;87
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40057;1;71;176497,10;99;21,22217;192;363;9;11;2;1006;18;49
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40058;1;70;183463,14;99;25,52111;240;749;23;37;2;3231;19;70
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40059;1;70;180571,99;99;20,91580;192;286;9;5;1;1051;12;47
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40060;1;69;184838,94;99;20,12408;192;401;7;6;1;1056;27;61
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40061;1;69;181151,83;99;20,63024;192;362;5;8;1;1106;30;49
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40062;1;68;181213,64;99;21,04358;192;315;4;3;2;1028;15;52
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40063;1;67;186489,00;99;21,63517;192;311;7;3;2;1049;8;57
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40064;1;67;87898,27;99;22,76010;192;573;11;8;2;1603;24;87
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40065;1;66;189238,71;99;19,98318;192;472;4;5;3;1190;14;70
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40066;1;66;91083,54;99;25,13018;192;426;12;6;4;1432;16;64
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40067;1;66;183761,64;99;19,76643;192;387;3;5;4;1150;16;67
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40068;1;66;89641,62;99;24,15411;192;445;6;6;1;1516;21;71
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40069;1;65;186204,59;99;21,14258;192;351;10;3;1;1093;16;58
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40070;1;65;89205,61;99;24,94508;192;356;13;7;1;1409;12;67
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40071;1;65;188684,54;99;20,70430;192;299;6;4;2;977;10;55
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40072;1;64;88139,00;99;24,01856;192;287;3;1;2;1181;9;48
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40073;1;64;188515,70;99;21,03853;192;474;12;10;2;1270;21;74
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40074;1;63;90173,56;99;24,59324;192;399;3;8;2;1787;13;66
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40075;1;64;192086,24;99;20,83956;192;416;9;10;4;1303;14;51
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40076;1;62;177319,42;99;19,11536;192;488;9;7;8;1160;32;68
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40079;1;58;365877,86;99;19,29240;192;674;8;23;5;1555;17;77
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40080;1;57;79921,50;99;24,57676;192;319;3;8;3;1382;9;59
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40081;1;56;78166,98;99;24,19980;192;244;3;4;1;1220;8;55
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40082;1;56;77580,39;99;24,39154;192;273;8;4;1;1123;4;47
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40083;1;56;364046,14;99;19,16210;192;390;7;13;2;1312;9;42
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40084;1;55;72603,67;99;22,29917;192;287;4;10;1;1079;9;50
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40085;1;55;312428,15;99;18,58174;192;290;4;5;1;1146;5;27
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40086;1;55;807750,99;99;17,97512;240;887;10;44;5;2318;7;61
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40087;1;55;159900,77;99;18,67475;192;295;2;8;2;908;10;50
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40088;1;55;70476,97;99;22,07919;192;226;6;4;1;882;6;45
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40089;1;54;71354,01;99;22,57885;192;218;3;6;1;822;8;40
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40090;1;54;770755,51;99;17,53569;240;557;7;11;2;1812;3;36
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40091;1;53;340224,48;99;18,49941;192;428;3;7;3;1329;9;46
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40092;1;54;159463,60;99;18,94023;192;332;3;7;2;1006;3;46
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40093;1;54;69672,82;99;22,04472;192;191;5;3;2;780;9;35
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40094;1;54;745002,61;99;17,34257;240;516;2;27;3;1646;5;26
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40095;1;53;71424,87;99;23,91141;192;179;2;11;2;871;8;34
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40096;1;54;160721,46;99;19,98453;192;214;6;5;1;873;5;36
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40097;1;53;161826,99;99;21,27424;192;222;2;7;1;668;3;23
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40098;1;53;738387,14;99;17,59381;240;577;1;26;1;1873;1;30
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40099;1;52;288741,02;99;17,97443;192;320;5;11;3;893;9;28
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40100;1;53;190004,73;99;18,73745;192;440;2;9;9;699;0;67
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40101;1;53;80253,64;99;20,48596;192;321;3;15;1;895;3;33
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40102;1;53;158109,30;99;22,21331;192;163;5;10;1;731;5;25
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40103;1;52;162308,39;99;20,75977;192;205;3;6;2;693;3;27
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40104;1;52;73308,30;99;24,83619;192;176;4;9;1;944;1;38
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40105;1;51;677562,80;99;17,84968;240;668;12;17;1;2044;3;47
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40106;1;52;164780,36;99;20,17484;192;175;5;4;2;657;3;26
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40107;1;51;306959,04;99;18,60275;192;356;0;8;3;754;3;48
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40108;1;52;74149,70;99;24,50518;192;209;3;6;0;1065;9;34
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40109;1;51;156836,80;99;20,98010;192;186;3;5;1;712;4;28
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40110;1;51;73074,50;99;23,30099;192;232;4;6;1;945;2;41
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40111;1;51;164326,20;99;19,13882;192;287;1;8;4;759;4;33
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40112;1;49;597498,91;99;18,59094;240;789;11;47;5;2440;6;54
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40113;1;50;259833,67;99;19,95075;192;248;3;4;2;564;4;28
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40114;1;50;66182,85;99;23,19447;192;291;2;7;1;1015;3;41
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40115;1;50;145630,93;99;21,39241;192;197;3;12;3;742;3;23
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40116;1;50;140905,60;99;20,67397;192;217;1;11;3;897;3;27
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40117;1;49;62854,53;99;22,89394;192;264;4;6;1;964;1;40
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40118;1;49;142433,24;99;21,37869;192;266;10;15;1;879;3;34
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40119;1;48;246515,13;99;18,92400;192;221;1;3;2;627;3;22
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40120;1;48;648861,89;99;18,98878;240;461;8;32;2;2067;3;40
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40121;1;49;142049,88;99;21,41118;192;227;3;7;3;878;4;30
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40122;1;49;72522,12;99;22,94846;192;181;1;6;1;774;4;33
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40123;1;48;63980,51;99;24,12093;192;224;6;7;1;990;2;52
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40124;1;48;140638,68;99;21,63156;192;209;5;11;4;930;3;37
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40125;1;47;285301,25;99;15,69118;192;581;0;13;3;647;0;30
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40126;1;47;63935,70;99;22,69101;192;300;4;4;1;1004;7;38
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40127;1;47;139633,49;99;22,10526;192;181;3;6;1;910;7;36
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40128;1;46;646884,68;99;18,11595;240;486;5;13;6;2091;5;43
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40129;1;46;241288,82;99;18,60437;192;285;2;6;2;595;2;25
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40130;1;47;61435,22;99;22,90302;192;207;3;15;1;927;3;37
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;40131;1;47;146042,91;99;20,68612;192;232;3;7;2;811;2;38
