#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_grupo;Código_do_segmento;Número_da_assembléia_geral_ordinária;Valor_médio_do_bem;Índice_de_correção;Taxa_de_administração;Prazo_do_grupo_em_meses;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00057;1;181;229525,12;3;20,79688;200;690;48;0;5;2966;390;95
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00058;1;178;522085,89;3;18,97865;200;607;43;1;6;2128;259;77
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00061;1;177;198705,20;3;21,30953;200;756;44;0;0;2619;395;84
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00062;1;176;268764,44;3;19,57839;200;670;36;2;7;2258;294;103
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00063;1;176;237084,05;3;10,91300;200;575;25;0;0;655;437;12
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00064;1;176;206461,41;3;21,02825;200;764;36;0;0;2890;394;65
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00065;1;175;237730,55;3;10,80283;200;567;32;1;0;769;409;22
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00066;1;174;213671,71;3;20,72254;200;719;41;3;5;2849;333;97
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00067;1;171;271876,02;3;20,24718;200;599;35;4;6;2202;276;72
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00068;1;173;191732,73;3;21,43475;200;749;50;1;1;3360;386;109
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00069;1;173;212335,83;3;20,71045;200;674;39;2;9;3098;288;81
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00070;1;171;202917,25;3;20,29568;200;686;37;0;5;3251;326;100
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00071;1;170;185993,13;3;20,43222;200;651;34;1;10;3325;273;78
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00074;1;168;288883,41;3;20,85288;200;735;62;3;6;2315;307;97
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00075;1;169;437760,34;3;22,54919;180;751;56;0;1;2545;405;39
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00076;1;167;1084766,54;3;15,95379;180;851;44;1;0;2109;484;38
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00077;1;168;432014,69;3;23,38602;180;651;50;0;0;2497;368;32
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00078;1;167;295343,45;3;20,79578;200;611;27;2;5;1974;272;63
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00079;1;166;428249,84;3;11,07102;200;686;51;5;3;694;408;47
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00081;1;165;292175,49;3;20,40587;200;683;31;1;6;2234;271;83
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00083;1;164;515173,30;3;20,48994;200;613;35;6;16;2039;150;127
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00084;1;164;243075,22;3;22,28568;200;443;29;3;4;2465;153;72
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00086;1;163;585385,28;3;21,15813;200;744;50;6;5;2032;317;78
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00087;1;164;298948,82;3;20,48899;200;596;38;2;4;2013;255;55
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00088;1;163;290675,40;3;20,37340;200;607;39;4;7;2115;219;75
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00089;1;163;1115667,70;3;15,78911;180;848;49;3;0;2291;466;56
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00093;1;163;117723,66;3;23,49896;192;884;75;1;0;4709;415;123
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00094;1;161;437234,02;3;22,42717;192;876;72;11;8;2857;369;106
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00095;1;161;234311,50;3;22,23721;192;776;55;1;6;3419;333;96
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00100;1;146;256961,68;3;20,31167;192;567;44;12;3;2288;180;87
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00101;1;146;258718,55;3;19,92086;192;691;42;7;8;2424;222;101
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00102;1;145;482344,02;3;21,32731;192;894;63;3;7;2745;341;94
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202506;00103;1;146;257799,82;3;19,97053;192;624;28;4;5;2410;176;93
